"","frame.number","frame.time_relative","frame.time_delta_displayed","frame.len","ip.proto","ip.version","ip.src","ip.dst","tcp.srcport","tcp.dstport","mbtcp.prot_id","mbtcp.trans_id","mbtcp.len","mbtcp.modbus.func_code","mbtcp.modbus.reference_num","mbtcp.modbus.word_cnt","mbtcp.modbus.data"
"47",47,572.197757,0.009442,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",11,5,"4","",NA,"00:54"
"48",48,572.200968,0.003211,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",12,6,"4","1",1,""
"49",49,572.207755,0.006787,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",12,5,"4","",NA,"00:54"
"50",50,572.208554,0.000799,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",13,6,"4","1",1,""
"51",51,572.217784,0.00923,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",13,5,"4","",NA,"00:54"
"52",52,572.219969,0.002185,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",14,6,"4","1",1,""
"53",53,572.227761,0.007792,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",14,5,"4","",NA,"00:54"
"54",54,572.242491,0.01473,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",15,6,"4","1",1,""
"55",55,572.247781,0.00529,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",15,5,"4","",NA,"00:54"
"56",56,572.24858,0.000799,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",16,6,"4","1",1,""
"57",57,572.257785,0.009205,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",16,5,"4","",NA,"00:54"
"58",58,572.447073,0.189288,54,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"59",59,572.577375,0.130302,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",17,6,"4","2",1,""
"60",60,572.586126,0.008751,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",17,5,"4","",NA,"12:0a"
"61",61,572.586453,0.000327,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",18,6,"4","0",1,""
"62",62,572.597749,0.011296,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",18,5,"4","",NA,"00:75"
"63",63,572.5982,0.000451,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",19,6,"4","0",1,""
"64",64,572.607783,0.009583,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",19,5,"4","",NA,"00:75"
"65",65,572.608117,0.000334,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",20,6,"4","0",1,""
"66",66,572.617795,0.009678,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",20,5,"4","",NA,"00:75"
"67",67,572.618118,0.000323,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",21,6,"4","0",1,""
"68",68,572.62781,0.009692,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",21,5,"4","",NA,"00:75"
"69",69,572.628038,0.000228,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",22,6,"4","1",1,""
"70",70,572.637741,0.009703,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",22,5,"4","",NA,"00:54"
"71",71,572.638015,0.000274,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",23,6,"4","1",1,""
"72",72,572.647817,0.009802,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",23,5,"4","",NA,"00:54"
"73",73,572.648205,0.000388,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",24,6,"4","3",1,""
"74",74,572.657805,0.0096,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",24,5,"4","",NA,"0a:ca"
"75",75,572.658336,0.000531,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",25,6,"4","0",1,""
"76",76,572.667779,0.009443,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",25,5,"4","",NA,"00:75"
"77",77,572.668473,0.000694,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",26,6,"4","0",1,""
"78",78,572.677732,0.009259,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",26,5,"4","",NA,"00:75"
"79",79,572.678051,0.000319,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",27,6,"4","0",1,""
"80",80,572.687772,0.009721,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",27,5,"4","",NA,"00:75"
"81",81,572.687993,0.000221,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",28,6,"4","1",1,""
"82",82,572.697784,0.009791,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",28,5,"4","",NA,"00:54"
"83",83,572.698177,0.000393,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",29,6,"4","1",1,""
"84",84,572.707788,0.009611,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",29,5,"4","",NA,"00:54"
"85",85,572.708083,0.000295,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",30,6,"4","1",1,""
"86",86,572.717755,0.009672,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",30,5,"4","",NA,"00:54"
"87",87,572.718145,0.00039,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",31,6,"4","1",1,""
"88",88,572.727727,0.009582,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",31,5,"4","",NA,"00:54"
"89",89,572.728246,0.000519,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",32,6,"4","1",1,""
"90",90,572.737789,0.009543,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",32,5,"4","",NA,"00:54"
"91",91,572.738172,0.000383,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",33,6,"4","1",1,""
"92",92,572.747709,0.009537,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",33,5,"4","",NA,"00:54"
"93",93,572.947714,0.200005,54,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"94",94,573.089266,0.141552,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",34,6,"4","2",1,""
"95",95,573.096181,0.006915,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",34,5,"4","",NA,"12:0a"
"96",96,573.096494,0.000313,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",35,6,"4","0",1,""
"97",97,573.107792,0.011298,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",35,5,"4","",NA,"00:75"
"98",98,573.10825,0.000458,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",36,6,"4","0",1,""
"99",99,573.117766,0.009516,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",36,5,"4","",NA,"00:75"
"100",100,573.118118,0.000352,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",37,6,"4","0",1,""
"101",101,573.127815,0.009697,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",37,5,"4","",NA,"00:75"
"102",102,573.12817,0.000355,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",38,6,"4","0",1,""
"103",103,573.137772,0.009602,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",38,5,"4","",NA,"00:75"
"104",104,573.138121,0.000349,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",39,6,"4","1",1,""
"105",105,573.147783,0.009662,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",39,5,"4","",NA,"00:50"
"106",106,573.149127,0.001344,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",40,6,"4","1",1,""
"107",107,573.15781,0.008683,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",40,5,"4","",NA,"00:50"
"108",108,573.158081,0.000271,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",41,6,"4","3",1,""
"109",109,573.167708,0.009627,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",41,5,"4","",NA,"0a:ba"
"110",110,573.167957,0.000249,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",42,6,"4","0",1,""
"111",111,573.178465,0.010508,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",42,5,"4","",NA,"00:75"
"112",112,573.185717,0.007252,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",43,6,"4","0",1,""
"113",113,573.19776,0.012043,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",43,5,"4","",NA,"00:75"
"114",114,573.198206,0.000446,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",44,6,"4","0",1,""
"115",115,573.207787,0.009581,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",44,5,"4","",NA,"00:75"
"116",116,573.208484,0.000697,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",45,6,"4","1",1,""
"117",117,573.217811,0.009327,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",45,5,"4","",NA,"00:50"
"118",118,573.21814,0.000329,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",46,6,"4","1",1,""
"119",119,573.227873,0.009733,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",46,5,"4","",NA,"00:50"
"120",120,573.228263,0.00039,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",47,6,"4","1",1,""
"121",121,573.237766,0.009503,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",47,5,"4","",NA,"00:50"
"122",122,573.238218,0.000452,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",48,6,"4","1",1,""
"123",123,573.247768,0.00955,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",48,5,"4","",NA,"00:50"
"124",124,573.248176,0.000408,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",49,6,"4","1",1,""
"125",125,573.257788,0.009612,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",49,5,"4","",NA,"00:50"
"126",126,573.258114,0.000326,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",50,6,"4","1",1,""
"127",127,573.26785,0.009736,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",50,5,"4","",NA,"00:50"
"128",128,573.448385,0.180535,54,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"129",129,573.580313,0.131928,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",51,6,"4","2",1,""
"130",130,573.586191,0.005878,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",51,5,"4","",NA,"12:14"
"131",131,573.59303,0.006839,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",52,6,"4","0",1,""
"132",132,573.597761,0.004731,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",52,5,"4","",NA,"00:75"
"133",133,573.598034,0.000273,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",53,6,"4","0",1,""
"134",134,573.607848,0.009814,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",53,5,"4","",NA,"00:75"
"135",135,573.608267,0.000419,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",54,6,"4","0",1,""
"136",136,573.617822,0.009555,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",54,5,"4","",NA,"00:75"
"137",137,573.618803,0.000981,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",55,6,"4","0",1,""
"138",138,573.627833,0.00903,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",55,5,"4","",NA,"00:75"
"139",139,573.628183,0.00035,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",56,6,"4","1",1,""
"140",140,573.637784,0.009601,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",56,5,"4","",NA,"00:50"
"141",141,573.638162,0.000378,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",57,6,"4","1",1,""
"142",142,573.647769,0.009607,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",57,5,"4","",NA,"00:50"
"143",143,573.652472,0.004703,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",58,6,"4","3",1,""
"144",144,573.657755,0.005283,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",58,5,"4","",NA,"0a:b8"
"145",145,573.658017,0.000262,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",59,6,"4","0",1,""
"146",146,573.667786,0.009769,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",59,5,"4","",NA,"00:75"
"147",147,573.668106,0.00032,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",60,6,"4","0",1,""
"148",148,573.677848,0.009742,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",60,5,"4","",NA,"00:75"
"149",149,573.678133,0.000285,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",61,6,"4","0",1,""
"150",150,573.687884,0.009751,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",61,5,"4","",NA,"00:75"
"151",151,573.688189,0.000305,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",62,6,"4","1",1,""
"152",152,573.69775,0.009561,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",62,5,"4","",NA,"00:50"
"153",153,573.697941,0.000191,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",63,6,"4","1",1,""
"154",154,573.707866,0.009925,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",63,5,"4","",NA,"00:50"
"155",155,573.708202,0.000336,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",64,6,"4","1",1,""
"156",156,573.717744,0.009542,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",64,5,"4","",NA,"00:50"
"157",157,573.720276,0.002532,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",65,6,"4","1",1,""
"158",158,573.727854,0.007578,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",65,5,"4","",NA,"00:50"
"159",159,573.728192,0.000338,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",66,6,"4","1",1,""
"160",160,573.737859,0.009667,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",66,5,"4","",NA,"00:50"
"161",161,573.738133,0.000274,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",67,6,"4","1",1,""
"162",162,573.747845,0.009712,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",67,5,"4","",NA,"00:50"
"163",163,573.850608,0.102763,54,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"164",164,574.080096,0.229488,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",68,6,"4","2",1,""
"165",165,574.086221,0.006125,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",68,5,"4","",NA,"12:14"
"166",166,574.086541,0.00032,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",69,6,"4","0",1,""
"167",167,574.097816,0.011275,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",69,5,"4","",NA,"00:75"
"168",168,574.098153,0.000337,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",70,6,"4","0",1,""
"169",169,574.107825,0.009672,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",70,5,"4","",NA,"00:75"
"170",170,574.108225,4e-04,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",71,6,"4","0",1,""
"171",171,574.117819,0.009594,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",71,5,"4","",NA,"00:75"
"172",172,574.118142,0.000323,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",72,6,"4","0",1,""
"173",173,574.127831,0.009689,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",72,5,"4","",NA,"00:75"
"174",174,574.132345,0.004514,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",73,6,"4","1",1,""
"175",175,574.137828,0.005483,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",73,5,"4","",NA,"00:50"
"176",176,574.138156,0.000328,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",74,6,"4","1",1,""
"177",177,574.147833,0.009677,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",74,5,"4","",NA,"00:50"
"178",178,574.156503,0.00867,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",75,6,"4","3",1,""
"179",179,574.16797,0.011467,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",75,5,"4","",NA,"0a:b8"
"180",180,574.168355,0.000385,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",76,6,"4","0",1,""
"181",181,574.177858,0.009503,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",76,5,"4","",NA,"00:75"
"182",182,574.179099,0.001241,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",77,6,"4","0",1,""
"183",183,574.187916,0.008817,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",77,5,"4","",NA,"00:75"
"184",184,574.188213,0.000297,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",78,6,"4","0",1,""
"185",185,574.197855,0.009642,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",78,5,"4","",NA,"00:75"
"186",186,574.204673,0.006818,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",79,6,"4","1",1,""
"187",187,574.217799,0.013126,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",79,5,"4","",NA,"00:50"
"188",188,574.218227,0.000428,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",80,6,"4","1",1,""
"189",189,574.227888,0.009661,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",80,5,"4","",NA,"00:50"
"190",190,574.228287,0.000399,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",81,6,"4","1",1,""
"191",191,574.237928,0.009641,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",81,5,"4","",NA,"00:50"
"192",192,574.239299,0.001371,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",82,6,"4","1",1,""
"193",193,574.247861,0.008562,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",82,5,"4","",NA,"00:50"
"194",194,574.255256,0.007395,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",83,6,"4","1",1,""
"195",195,574.267914,0.012658,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",83,5,"4","",NA,"00:50"
"196",196,574.282438,0.014524,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",84,6,"4","1",1,""
"197",197,574.287783,0.005345,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",84,5,"4","",NA,"00:50"
"198",198,574.449953,0.16217,54,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"199",199,574.580466,0.130513,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",85,6,"4","2",1,""
"200",200,574.586203,0.005737,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",85,5,"4","",NA,"12:13"
"201",201,574.58647,0.000267,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",86,6,"4","0",1,""
"202",202,574.597888,0.011418,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",86,5,"4","",NA,"00:75"
"203",203,574.60203,0.004142,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",87,6,"4","0",1,""
"204",204,574.607833,0.005803,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",87,5,"4","",NA,"00:75"
"205",205,574.608216,0.000383,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",88,6,"4","0",1,""
"206",206,574.617835,0.009619,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",88,5,"4","",NA,"00:75"
"207",207,574.618759,0.000924,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",89,6,"4","0",1,""
"208",208,574.627882,0.009123,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",89,5,"4","",NA,"00:75"
"209",209,574.628207,0.000325,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",90,6,"4","1",1,""
"210",210,574.637871,0.009664,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",90,5,"4","",NA,"00:50"
"211",211,574.638284,0.000413,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",91,6,"4","1",1,""
"212",212,574.647862,0.009578,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",91,5,"4","",NA,"00:50"
"213",213,574.648154,0.000292,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",92,6,"4","3",1,""
"214",214,574.657927,0.009773,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",92,5,"4","",NA,"0a:b8"
"215",215,574.658183,0.000256,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",93,6,"4","0",1,""
"216",216,574.667865,0.009682,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",93,5,"4","",NA,"00:75"
"217",217,574.673896,0.006031,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",94,6,"4","0",1,""
"218",218,574.677801,0.003905,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",94,5,"4","",NA,"00:75"
"219",219,574.687511,0.00971,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",95,6,"4","0",1,""
"220",220,574.697855,0.010344,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",95,5,"4","",NA,"00:75"
"221",221,574.703865,0.00601,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",96,6,"4","1",1,""
"222",222,574.707869,0.004004,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",96,5,"4","",NA,"00:50"
"223",223,574.716233,0.008364,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",97,6,"4","1",1,""
"224",224,574.727904,0.011671,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",97,5,"4","",NA,"00:50"
"225",225,574.731644,0.00374,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",98,6,"4","1",1,""
"226",226,574.737842,0.006198,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",98,5,"4","",NA,"00:50"
"227",227,574.752549,0.014707,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",99,6,"4","1",1,""
"228",228,574.757849,0.0053,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",99,5,"4","",NA,"00:50"
