"","frame.number","frame.time_relative","frame.time_delta_displayed","frame.len","ip.proto","ip.version","ip.src","ip.dst","tcp.srcport","tcp.dstport","mbtcp.prot_id","mbtcp.trans_id","mbtcp.len","mbtcp.modbus.func_code","mbtcp.modbus.reference_num","mbtcp.modbus.word_cnt","mbtcp.modbus.data"
"1",1,0,0,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"2",2,0.003069,0.003069,54,"6","4","192.168.12.51","192.168.12.253","2017","502","",NA,NA,"","",NA,""
"3",3,150.305738,150.302669,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"4",4,150.308795,0.003057,54,"6","4","192.168.12.51","192.168.12.253","2017","502","",NA,NA,"","",NA,""
"5",5,300.311449,150.002654,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"6",6,300.314559,0.00311,54,"6","4","192.168.12.51","192.168.12.253","2017","502","",NA,NA,"","",NA,""
"7",7,450.317206,150.002647,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"8",8,450.320193,0.002987,54,"6","4","192.168.12.51","192.168.12.253","2017","502","",NA,NA,"","",NA,""
"9",9,527.958827,77.638634,54,"6","4","192.168.12.51","192.168.12.253","2017","502","",NA,NA,"","",NA,""
"10",10,527.963157,0.00433,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"11",11,527.963986,0.000829,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"12",12,527.964122,0.000136,54,"6","4","192.168.12.51","192.168.12.253","2017","502","",NA,NA,"","",NA,""
"13",13,527.96417,4.8e-05,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"14",14,527.974206,0.010036,54,"6","4","192.168.12.253","192.168.12.51","502","2017","",NA,NA,"","",NA,""
"15",15,548.80407,20.829864,62,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"16",16,548.81407,0.01,54,"6","4","192.168.12.253","192.168.12.51","502","2499","",NA,NA,"","",NA,""
"17",17,548.814261,0.000191,54,"6","4","192.168.12.51","192.168.12.253","2499","502","",NA,NA,"","",NA,""
"18",18,569.846639,21.032378,62,"6","4","192.168.12.51","192.168.12.250","2501","502","",NA,NA,"","",NA,""
"19",19,569.84693,0.000291,54,"6","4","192.168.12.250","192.168.12.51","502","2501","",NA,NA,"","",NA,""
"20",20,570.343973,0.497043,62,"6","4","192.168.12.51","192.168.12.250","2501","502","",NA,NA,"","",NA,""
"21",21,570.344288,0.000315,54,"6","4","192.168.12.250","192.168.12.51","502","2501","",NA,NA,"","",NA,""
"22",22,570.844677,0.500389,62,"6","4","192.168.12.51","192.168.12.250","2501","502","",NA,NA,"","",NA,""
"23",23,570.844964,0.000287,54,"6","4","192.168.12.250","192.168.12.51","502","2501","",NA,NA,"","",NA,""
"24",24,572.078169,1.233205,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",0,6,"4","2",1,""
"25",25,572.08773,0.009561,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",0,5,"4","",NA,"12:14"
"26",26,572.0899,0.00217,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",1,6,"4","0",1,""
"27",27,572.097752,0.007852,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",1,5,"4","",NA,"00:75"
"28",28,572.103408,0.005656,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",2,6,"4","0",1,""
"29",29,572.107749,0.004341,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",2,5,"4","",NA,"00:75"
"30",30,572.108214,0.000465,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",3,6,"4","0",1,""
"31",31,572.117776,0.009562,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",3,5,"4","",NA,"00:75"
"32",32,572.11805,0.000274,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",4,6,"4","0",1,""
"33",33,572.127706,0.009656,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",4,5,"4","",NA,"00:75"
"34",34,572.127964,0.000258,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",5,6,"4","1",1,""
"35",35,572.137746,0.009782,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",5,5,"4","",NA,"00:54"
"36",36,572.138179,0.000433,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",6,6,"4","1",1,""
"37",37,572.147719,0.00954,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",6,5,"4","",NA,"00:54"
"38",38,572.149417,0.001698,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",7,6,"4","3",1,""
"39",39,572.157741,0.008324,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",7,5,"4","",NA,"0a:cc"
"40",40,572.15803,0.000289,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",8,6,"4","0",1,""
"41",41,572.167714,0.009684,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",8,5,"4","",NA,"00:75"
"42",42,572.168056,0.000342,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",9,6,"4","0",1,""
"43",43,572.177767,0.009711,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",9,5,"4","",NA,"00:75"
"44",44,572.178888,0.001121,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",10,6,"4","0",1,""
"45",45,572.187775,0.008887,65,"6","4","192.168.12.253","192.168.12.51","502","2499","0",10,5,"4","",NA,"00:75"
"46",46,572.188315,0.00054,66,"6","4","192.168.12.51","192.168.12.253","2499","502","0",11,6,"4","1",1,""
