"","Address","Port","Packets","Bytes","Tx.Packets","Tx.Bytes","Rx.Packets","Rx.Bytes","Latitude","Longitude"
"92","192.168.50.50",1107,30,1860,30,1860,0,0,"-","-"
"93","192.168.50.50",1108,30,1860,30,1860,0,0,"-","-"
"94","192.168.50.50",1109,30,1860,30,1860,0,0,"-","-"
"95","192.168.12.51",2515,28,1536,25,1374,3,162,"-","-"
"96","192.168.50.50",1110,30,1860,30,1860,0,0,"-","-"
"97","192.168.50.50",1111,30,1860,30,1860,0,0,"-","-"
"98","192.168.50.50",1112,30,1860,30,1860,0,0,"-","-"
"99","192.168.12.51",2517,28,1536,25,1374,3,162,"-","-"
"100","83.133.119.197",46923,109,150678,109,150678,0,0,"-","-"
"101","192.168.50.11",25,563,756348,0,0,563,756348,"-","-"
"102","192.168.50.50",1113,30,1860,30,1860,0,0,"-","-"
"103","192.168.50.50",1114,30,1860,30,1860,0,0,"-","-"
"104","192.168.12.51",2519,28,1536,25,1374,3,162,"-","-"
"105","192.168.50.50",1115,30,1860,30,1860,0,0,"-","-"
"106","192.168.12.128",1212,34,5207,18,2873,16,2334,"-","-"
"107","192.168.50.50",1118,208,12236,208,12236,0,0,"-","-"
"108","192.168.50.50",1119,30,1860,30,1860,0,0,"-","-"
"109","192.168.50.50",1120,30,1860,30,1860,0,0,"-","-"
"110","192.168.12.51",2521,28,1536,25,1374,3,162,"-","-"
"111","192.168.50.50",1121,515,27826,515,27826,0,0,"-","-"
"112","83.133.119.197",80,20737,5234197,0,0,20737,5234197,"-","-"
"113","192.168.50.50",1122,30,1860,30,1860,0,0,"-","-"
"114","192.168.50.50",1123,30,1860,30,1860,0,0,"-","-"
"115","192.168.50.50",1124,13,992,13,992,0,0,"-","-"
"116","192.168.50.50",1125,30,1860,30,1860,0,0,"-","-"
"117","192.168.12.51",2523,28,1536,25,1374,3,162,"-","-"
"118","192.168.50.50",1126,30,1860,30,1860,0,0,"-","-"
"119","192.168.50.50",1127,30,1860,30,1860,0,0,"-","-"
"120","192.168.50.50",1128,30,1860,30,1860,0,0,"-","-"
"121","192.168.12.51",2525,28,1536,25,1374,3,162,"-","-"
"122","192.168.50.50",1129,30,1860,30,1860,0,0,"-","-"
"123","192.168.50.50",1130,30,1860,30,1860,0,0,"-","-"
"124","192.168.50.50",1131,30,1860,30,1860,0,0,"-","-"
"125","192.168.12.51",2527,28,1536,25,1374,3,162,"-","-"
"126","192.168.50.50",1132,30,1860,30,1860,0,0,"-","-"
"127","192.168.50.50",1133,30,1860,30,1860,0,0,"-","-"
"128","192.168.12.51",2529,28,1536,25,1374,3,162,"-","-"
"129","192.168.50.50",1134,30,1860,30,1860,0,0,"-","-"
"130","192.168.50.50",1135,30,1860,30,1860,0,0,"-","-"
"131","192.168.50.50",1136,30,1860,30,1860,0,0,"-","-"
"132","192.168.12.51",2531,28,1536,25,1374,3,162,"-","-"
"133","192.168.50.50",1137,30,1860,30,1860,0,0,"-","-"
"134","192.168.50.50",1138,30,1860,30,1860,0,0,"-","-"
"135","192.168.50.50",1139,30,1860,30,1860,0,0,"-","-"
"136","192.168.12.51",2533,28,1536,25,1374,3,162,"-","-"
"137","192.168.50.50",1140,30,1860,30,1860,0,0,"-","-"
"138","192.168.50.50",1141,30,1860,30,1860,0,0,"-","-"
"139","83.133.119.197",58204,73,5675,73,5675,0,0,"-","-"
"140","192.168.50.50",1142,30,1860,30,1860,0,0,"-","-"
"141","192.168.12.51",2535,28,1536,25,1374,3,162,"-","-"
"142","192.168.50.50",1143,30,1860,30,1860,0,0,"-","-"
"143","192.168.50.50",1144,30,1860,30,1860,0,0,"-","-"
"144","192.168.50.50",1145,30,1860,30,1860,0,0,"-","-"
"145","192.168.12.51",2537,28,1536,25,1374,3,162,"-","-"
"146","192.168.50.50",1146,30,1860,30,1860,0,0,"-","-"
"147","192.168.50.50",1147,30,1860,30,1860,0,0,"-","-"
"148","192.168.12.51",2539,28,1536,25,1374,3,162,"-","-"
"149","192.168.50.50",1148,30,1860,30,1860,0,0,"-","-"
"150","192.168.50.50",1149,30,1860,30,1860,0,0,"-","-"
"151","192.168.50.50",1150,30,1860,30,1860,0,0,"-","-"
"152","192.168.12.51",2541,28,1536,25,1374,3,162,"-","-"
"153","192.168.50.50",1151,30,1860,30,1860,0,0,"-","-"
"154","192.168.50.50",1152,30,1860,30,1860,0,0,"-","-"
"155","192.168.50.50",1153,30,1860,30,1860,0,0,"-","-"
"156","192.168.12.51",2543,28,1536,25,1374,3,162,"-","-"
"157","192.168.50.50",1154,30,1860,30,1860,0,0,"-","-"
"158","192.168.50.50",1155,36,2400,36,2400,0,0,"-","-"
"159","192.168.50.50",1156,31,1950,31,1950,0,0,"-","-"
"160","192.168.12.51",2545,28,1536,25,1374,3,162,"-","-"
"161","192.168.50.50",1157,30,1860,30,1860,0,0,"-","-"
"162","192.168.50.50",1158,30,1860,30,1860,0,0,"-","-"
"163","192.168.12.128",1213,22,2974,12,1707,10,1267,"-","-"
"164","192.168.50.50",1159,30,1860,30,1860,0,0,"-","-"
"165","192.168.12.51",2547,28,1536,25,1374,3,162,"-","-"
"166","192.168.50.50",1160,30,1860,30,1860,0,0,"-","-"
"167","192.168.50.50",1161,30,1860,30,1860,0,0,"-","-"
"168","192.168.12.51",2549,28,1536,25,1374,3,162,"-","-"
"169","192.168.50.50",1162,30,1860,30,1860,0,0,"-","-"
"170","192.168.12.51",2551,28,1536,25,1374,3,162,"-","-"
"171","192.168.50.50",1163,30,1860,30,1860,0,0,"-","-"
"172","192.168.12.51",2553,28,1536,25,1374,3,162,"-","-"
"173","192.168.50.50",1164,30,1860,30,1860,0,0,"-","-"
"174","192.168.12.51",2555,28,1536,25,1374,3,162,"-","-"
"175","192.168.50.50",1165,30,1860,30,1860,0,0,"-","-"
"176","192.168.50.50",1166,30,1860,30,1860,0,0,"-","-"
"177","192.168.12.51",2557,28,1536,25,1374,3,162,"-","-"
"178","192.168.50.50",1167,30,1860,30,1860,0,0,"-","-"
"179","192.168.50.50",1168,30,1860,30,1860,0,0,"-","-"
"180","192.168.12.51",2559,28,1536,25,1374,3,162,"-","-"
"181","192.168.50.50",1169,30,1860,30,1860,0,0,"-","-"
"182","192.168.12.51",2561,28,1536,25,1374,3,162,"-","-"
"183","192.168.50.50",1170,30,1860,30,1860,0,0,"-","-"
"184","83.133.119.197",47105,121,151930,121,151930,0,0,"-","-"
"185","192.168.12.51",2563,28,1536,25,1374,3,162,"-","-"
"186","192.168.50.50",1171,30,1860,30,1860,0,0,"-","-"
"187","192.168.50.50",1174,222,13079,222,13079,0,0,"-","-"
"188","192.168.50.50",1175,30,1860,30,1860,0,0,"-","-"
"189","192.168.12.51",2565,28,1536,25,1374,3,162,"-","-"
"190","192.168.50.50",1176,6196,1877573,6196,1877573,0,0,"-","-"
"191","192.168.50.50",1177,30,1860,30,1860,0,0,"-","-"
"192","192.168.50.50",1178,13,992,13,992,0,0,"-","-"
"193","192.168.50.50",1179,30,1860,30,1860,0,0,"-","-"
"194","192.168.50.50",1180,30,1860,30,1860,0,0,"-","-"
"195","192.168.12.51",2567,28,1536,25,1374,3,162,"-","-"
"196","192.168.12.128",1214,34,5207,18,2873,16,2334,"-","-"
