"frame.time_relative" "frame.time_delta_displayed" "  frame.len" "ip.proto" "ip.version" "           ip.src" "           ip.dst" "  ip.hdr_len" " tcp.srcport" " tcp.dstport" "mbtcp.prot_id" "mbtcp.trans_id" "  mbtcp.len" "mbtcp.modbus.func_code" "mbtcp.modbus.reference_num" "mbtcp.modbus.word_cnt" "mbtcp.modbus.data"
"" "Min.   :   0.0031  " "Min.   : 0.00001  " "Min.   : 54.0  " "6:51554  " "4:51554  " "192.168.12.250:   45  " "192.168.12.250:  150  " "Min.   :20  " "2499   :50792  " "502    :51554  " " : 3247  " "Min.   :    0.0  " "Min.   :  4.000  " "  : 3247  " "Min.   :0.000  " "Min.   :1  " "        :51505  "
"" "1st Qu.: 948.5749  " "1st Qu.: 0.00026  " "1st Qu.: 66.0  " NA NA "192.168.12.253:    0  " "192.168.12.253:51404  " "1st Qu.:20  " "1032   :  463  " "1032   :    0  " "0:48307  " "1st Qu.:   63.0  " "1st Qu.:  6.000  " "1 :  245  " "1st Qu.:0.000  " "1st Qu.:1  " "00:04   :   10  "
"" "Median :1325.3119  " "Median : 0.00032  " "Median : 66.0  " NA NA "192.168.12.51 :50948  " "192.168.12.51 :    0  " "Median :20  " "1742   :   77  " "1033   :    0  " NA "Median :  128.0  " "Median :  6.000  " "4 :47969  " "Median :1.000  " "Median :1  " "01:04   :   10  "
"" "Mean   :1324.5160  " "Mean   : 0.02243  " "Mean   : 65.3  " NA NA "192.168.12.90 :  518  " "192.168.12.90 :    0  " "Mean   :20  " "1034   :   30  " "1034   :    0  " NA "Mean   :  268.1  " "Mean   :  6.035  " "43:    1  " "Mean   :0.761  " "Mean   :1  " "00:01:00:    6  "
"" "3rd Qu.:1703.6292  " "3rd Qu.: 0.00047  " "3rd Qu.: 66.0  " NA NA "192.168.50.50 :   43  " NA "3rd Qu.:20  " "1033   :   23  " "1742   :    0  " NA "3rd Qu.:  192.0  " "3rd Qu.:  6.000  " "90:   92  " "3rd Qu.:1.000  " "3rd Qu.:1  " "00:02   :    6  "
"" "Max.   :2063.4165  " "Max.   :77.63863  " "Max.   :315.0  " NA NA NA NA "Max.   :20  " "1744   :   11  " "1744   :    0  " NA "Max.   :58880.0  " "Max.   :255.000  " NA "Max.   :3.000  " "Max.   :1  " "01:12   :    4  "
"" NA NA NA NA NA NA NA NA "(Other):  158  " "(Other):    0  " NA "NA's   :3247  " "NA's   :3247  " NA "NA's   :3340  " "NA's   :3585  " "(Other) :   13  "
